"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Adding correct input for question","SUCCESS","2018-05-16T16:24:09.665+03:00[Europe/Athens]","0.0","9.69"
"Search by keyword story","Adding incorrect input for question","SUCCESS","2018-05-16T16:24:19.717+03:00[Europe/Athens]","0.0","4.96"
